origin_country_name,dispatch_country_name,commodity_code,steel_product_group,tonnes,value,active_months,origin_dispatch_different
South Korea,South Korea,72285061,Other alloy bars rods and sections,104.488,222246,2,False
South Korea,South Korea,72202041,Stainless steel flat products under 600mm,104.437,376259,6,False
Italy,Italy,72162200,Angles shapes and sections,104.268,85631,5,False
China,China,72163110,Angles shapes and sections,104.132,77708,8,False
Unknown / not supplied,Ireland,72155011,Other bars and rods,104.083,87197,29,True
India,Netherlands,72085120,Hot-rolled flat products,104.012,93194,5,True
Spain,Norway,72283061,Other alloy bars rods and sections,103.978,214044,19,True
Unknown / not supplied,Netherlands,72107080,Coated or plated flat products,103.925,266333,2,True
France,France,72044990,Ferrous waste and scrap,103.65,149053,20,False
Chile,Chile,72172030,Wire,103.605,90235,4,False
Taiwan,Taiwan,72091891,Cold-rolled flat products,103.605,56898,1,False
Taiwan,China,72202049,Stainless steel flat products under 600mm,103.59100000000001,116098,3,True
Ireland,Ireland,72107080,Coated or plated flat products,103.571,379839,18,False
Albania,Egypt,72179090,Wire,103.513,59238,1,True
Germany,Netherlands,72281090,Other alloy bars rods and sections,103.324,571123,10,True
Unknown / not supplied,Ireland,72111300,Flat products under 600mm,103.252,56032,23,True
China,Turkey,72202049,Stainless steel flat products under 600mm,103.203,184359,9,True
China,China,72179050,Wire,103.185,162452,14,False
China,Netherlands,72166900,Angles shapes and sections,102.92,146811,25,True
Finland,Finland,72191310,Stainless steel flat products,102.825,222623,6,False
Germany,Germany,72149971,Other bars and rods,102.663,96970,9,False
Austria,Austria,72222019,Stainless steel bars sections and wire,102.578,774938,28,False
Spain,France,72193390,Stainless steel flat products,102.536,154360,7,True
Thailand,Germany,72106100,Coated or plated flat products,102.51,97654,1,True
Hungary,Germany,72169110,Angles shapes and sections,102.305,144118,1,True
Unknown / not supplied,Belgium,72255080,Other alloy flat products,102.28,56652,3,True
Indonesia,Indonesia,72091790,Cold-rolled flat products,102.26,62193,1,False
Italy,Germany,72299090,Alloy steel wire,102.107,338706,24,True
Italy,Netherlands,72222011,Stainless steel bars sections and wire,102.095,1203826,28,True
China,Italy,72072052,Semi-finished steel,101.899,91740,2,True
Malaysia,Malaysia,72193390,Stainless steel flat products,101.821,116288,2,False
Poland,Netherlands,72166110,Angles shapes and sections,101.813,141869,15,True
Netherlands,France,72269970,Other alloy flat products under 600mm,101.774,183795,9,True
Norway,Netherlands,72023000,Ferro-alloys,101.74,96069,1,True
Unknown / not supplied,Italy,72149950,Other bars and rods,101.56400000000001,69507,3,True
Germany,Belgium,72202041,Stainless steel flat products under 600mm,101.493,223927,22,True
Austria,Austria,72224050,Stainless steel bars sections and wire,101.261,637683,12,False
Italy,Germany,72283061,Other alloy bars rods and sections,101.24199999999999,162289,8,True
Poland,Poland,72285061,Other alloy bars rods and sections,101.07499999999999,130666,6,False
Spain,Ireland,72151000,Other bars and rods,101.039,92368,7,True
Spain,Spain,72288000,Other alloy bars rods and sections,100.97699999999999,64969,2,False
Ireland,Ireland,72104900,Coated or plated flat products,100.918,134241,17,False
Unknown / not supplied,Ireland,72104900,Coated or plated flat products,100.855,181914,28,True
Germany,Germany,72282099,Other alloy bars rods and sections,100.824,387397,29,False
Unknown / not supplied,Ireland,72141000,Other bars and rods,100.473,99365,28,True
Belgium,Netherlands,72103000,Coated or plated flat products,100.26899999999999,118521,6,True
South Korea,Vietnam,72106100,Coated or plated flat products,100.25,68558,1,True
Belgium,Netherlands,72085191,Hot-rolled flat products,100.16,99427,6,True
Switzerland,Switzerland,72155080,Other bars and rods,100.13,196057,16,False
France,France,72199020,Stainless steel flat products,100.103,532512,29,False
Turkey,Turkey,72024910,Ferro-alloys,100.1,389891,4,False
Brazil,Netherlands,72024110,Ferro-alloys,100.0,63916,1,True
PA,PA,72041000,Ferrous waste and scrap,100.0,23650,2,False
Brazil,Netherlands,72029980,Ferro-alloys,100.0,1662145,3,True
Belgium,Belgium,72193490,Stainless steel flat products,99.975,175141,10,False
Turkey,Turkey,72179020,Wire,99.76,76157,4,False
Austria,Netherlands,72085299,Hot-rolled flat products,99.72800000000001,133982,7,True
Spain,Spain,72044199,Ferrous waste and scrap,99.66,24005,1,False
South Africa,South Africa,72191290,Stainless steel flat products,99.63,114068,3,False
Taiwan,China,72193310,Stainless steel flat products,99.604,149977,3,True
Austria,France,72104900,Coated or plated flat products,99.4,91094,3,True
Germany,Belgium,72193210,Stainless steel flat products,99.006,244658,9,True
China,China,72201100,Stainless steel flat products under 600mm,98.95,510703,12,False
France,France,72222039,Stainless steel bars sections and wire,98.838,959598,24,False
Sweden,Sweden,72281090,Other alloy bars rods and sections,98.82,941590,29,False
Germany,France,72202089,Stainless steel flat products under 600mm,98.765,877102,7,True
Belgium,Germany,72125040,Coated flat products under 600mm,98.75,206154,7,True
Germany,Netherlands,72109080,Coated or plated flat products,98.53,163429,3,True
Spain,Germany,72192210,Stainless steel flat products,98.417,394151,19,True
Portugal,Portugal,72171031,Wire,98.381,66861,3,False
China,China,72106900,Coated or plated flat products,98.21600000000001,72634,5,False
Poland,Poland,72139910,Hot-rolled bars and rods,98.106,93444,3,False
Czechia,Czechia,72143000,Other bars and rods,97.977,86957,9,False
Canada,Austria,72166110,Angles shapes and sections,97.94300000000001,82674,3,True
Germany,Netherlands,72169180,Angles shapes and sections,97.899,117617,17,True
Spain,Portugal,72283070,Other alloy bars rods and sections,97.791,59158,2,True
Italy,Italy,72101100,Coated or plated flat products,97.758,347090,25,False
Poland,Denmark,72166110,Angles shapes and sections,97.56400000000001,302863,7,True
South Korea,Netherlands,72106100,Coated or plated flat products,97.53999999999999,86042,3,True
Spain,Netherlands,72085291,Hot-rolled flat products,97.539,104683,14,True
China,China,72189920,Stainless steel ingots and semi-finished,97.486,1453023,28,False
China,Netherlands,72071114,Semi-finished steel,97.43900000000001,88732,2,True
China,Taiwan,72192300,Stainless steel flat products,97.39,167078,1,True
Ukraine,Poland,72091790,Cold-rolled flat products,97.29,56679,1,True
Vietnam,Vietnam,72104100,Coated or plated flat products,97.029,62081,2,False
China,Hong Kong,72171031,Wire,96.957,57921,5,True
Lithuania,Lithuania,72044199,Ferrous waste and scrap,96.711,41182,4,False
Malaysia,Spain,72193410,Stainless steel flat products,96.61,164807,1,True
China,China,72142000,Other bars and rods,96.476,80096,20,False
China,France,72281090,Other alloy bars rods and sections,96.448,355463,11,True
Vietnam,Vietnam,72202081,Stainless steel flat products under 600mm,96.444,425765,4,False
Finland,Turkey,72192300,Stainless steel flat products,96.404,193189,1,True
Taiwan,Taiwan,72202081,Stainless steel flat products under 600mm,96.35,133593,5,False
China,Czechia,72292000,Alloy steel wire,96.238,291468,8,True
China,Germany,72169110,Angles shapes and sections,96.208,198428,26,True
China,France,72292000,Alloy steel wire,96.12,98331,5,True
Italy,France,72202041,Stainless steel flat products under 600mm,96.093,356615,17,True
Turkey,Germany,72024950,Ferro-alloys,96.0,296422,2,True
Slovenia,United States,72071912,Semi-finished steel,96.0,83530,3,True
China,Belgium,72155019,Other bars and rods,95.86,114737,12,True
Italy,Italy,72112320,Flat products under 600mm,95.682,91128,4,False
Unknown / not supplied,Netherlands,72259200,Other alloy flat products,95.65,54262,2,True
Italy,Belgium,72155011,Other bars and rods,95.586,98044,9,True
Azerbaijan,Turkey,72149939,Other bars and rods,95.55,48212,1,True
Brazil,France,72011090,Pig iron,95.34,50194,2,True
Germany,Spain,72111900,Flat products under 600mm,95.3,122472,3,True
Malaysia,Spain,72193310,Stainless steel flat products,95.199,158181,1,True
United States,United States,72173050,Wire,94.931,673826,15,False
Netherlands,Netherlands,72022100,Ferro-alloys,94.776,98877,4,False
Germany,Germany,72192300,Stainless steel flat products,94.745,411491,25,False
Austria,Belgium,72254060,Other alloy flat products,94.644,104528,2,True
Germany,Germany,72071912,Semi-finished steel,94.238,95638,5,False
Sweden,Finland,72192110,Stainless steel flat products,94.203,332050,13,True
Austria,Austria,72089080,Hot-rolled flat products,94.173,179738,2,False
Croatia,Croatia,72124080,Coated flat products under 600mm,94.155,137086,22,False
Netherlands,France,72139170,Hot-rolled bars and rods,94.085,121039,2,True
Belgium,Belgium,72284090,Other alloy bars rods and sections,94.033,97648,3,False
Germany,France,72011090,Pig iron,94.02,50199,4,True
China,Singapore,72193310,Stainless steel flat products,93.897,161686,1,True
Netherlands,Netherlands,72106100,Coated or plated flat products,93.884,152237,10,False
Finland,Netherlands,72254060,Other alloy flat products,93.86,120430,7,True
Finland,Germany,72193390,Stainless steel flat products,93.852,147057,9,True
Luxembourg,Luxembourg,72222081,Stainless steel bars sections and wire,93.783,227641,8,False
South Africa,Hong Kong,72042110,Ferrous waste and scrap,93.68,98400,1,True
China,China,72202089,Stainless steel flat products under 600mm,93.575,317691,9,False
Italy,Italy,72149995,Other bars and rods,93.56400000000001,69829,8,False
Spain,Portugal,72162100,Angles shapes and sections,93.438,56754,1,True
Finland,Sweden,72287090,Other alloy bars rods and sections,93.435,135950,3,True
India,India,72071919,Semi-finished steel,93.413,561362,27,False
Spain,France,72163211,Angles shapes and sections,93.396,61641,1,True
Poland,Germany,72163211,Angles shapes and sections,93.39099999999999,81972,15,True
Germany,Sweden,72299090,Alloy steel wire,93.329,362956,6,True
Italy,Belgium,72112900,Flat products under 600mm,93.142,139548,4,True
Germany,Germany,72085390,Hot-rolled flat products,92.937,211341,22,False
Unknown / not supplied,Italy,72107080,Coated or plated flat products,92.847,101887,1,True
Netherlands,Belgium,72091790,Cold-rolled flat products,92.801,82217,3,True
China,Netherlands,72141000,Other bars and rods,92.752,106899,16,True
Austria,France,72091790,Cold-rolled flat products,92.71,81182,4,True
South Korea,Vietnam,72107080,Coated or plated flat products,92.55,46549,1,True
Sweden,Sweden,72269200,Other alloy flat products under 600mm,92.485,774983,25,False
Vietnam,Germany,72083900,Hot-rolled flat products,92.336,45621,1,True
Bulgaria,Bulgaria,72085120,Hot-rolled flat products,92.316,69294,2,False
Austria,Austria,72111900,Flat products under 600mm,92.307,2625324,6,False
Finland,Belgium,72192290,Stainless steel flat products,92.176,123813,7,True
Sweden,Finland,72085198,Hot-rolled flat products,92.1,61281,2,True
China,China,72221111,Stainless steel bars sections and wire,92.093,833780,6,False
South Korea,South Korea,72286080,Other alloy bars rods and sections,92.05799999999999,537309,6,False
Italy,Netherlands,72287010,Other alloy bars rods and sections,91.967,80610,8,True
United States,United States,72141000,Other bars and rods,91.899,491559,10,False
Malaysia,Germany,72202081,Stainless steel flat products under 600mm,91.833,655857,12,True
Germany,Denmark,72085299,Hot-rolled flat products,91.744,128902,20,True
Japan,Germany,72279095,Alloy bars and rods hot-rolled,91.619,115723,1,True
Canada,Canada,72042190,Ferrous waste and scrap,91.378,109944,2,False
Luxembourg,Ireland,72163291,Angles shapes and sections,91.373,169175,5,True
Germany,France,72112330,Flat products under 600mm,91.314,196812,5,True
Germany,Germany,72171050,Wire,91.303,151007,14,False
Ukraine,Ukraine,72285061,Other alloy bars rods and sections,91.19,177476,5,False
Canada,Taiwan,72284010,Other alloy bars rods and sections,91.054,202597,2,True
Germany,France,72222019,Stainless steel bars sections and wire,90.919,257217,10,True
Netherlands,Germany,72255080,Other alloy flat products,90.852,120450,5,True
Italy,Belgium,72155080,Other bars and rods,90.78800000000001,79585,11,True
North Macedonia,Greece,72162100,Angles shapes and sections,90.78,56159,2,True
Japan,Germany,72299090,Alloy steel wire,90.672,387751,25,True
Vietnam,South Korea,72083800,Hot-rolled flat products,90.63,52904,1,True
Sweden,Sweden,72286080,Other alloy bars rods and sections,90.452,186345,27,False
Belgium,Belgium,72106900,Coated or plated flat products,90.422,83580,1,False
Ireland,Ireland,72193310,Stainless steel flat products,90.297,158839,4,False
Germany,Czechia,72103000,Coated or plated flat products,90.187,72274,3,True
Italy,France,72151000,Other bars and rods,90.038,76329,6,True
Unknown / not supplied,Ireland,72179020,Wire,90.017,67140,17,True
India,India,72173090,Wire,90.011,177336,9,False
Germany,Latvia,72045000,Ferrous waste and scrap,89.976,256562,1,True
Sweden,Netherlands,72165099,Angles shapes and sections,89.863,71442,2,True
Germany,France,72222021,Stainless steel bars sections and wire,89.69200000000001,929741,14,True
Vietnam,Vietnam,72107010,Coated or plated flat products,89.66999999999999,68463,2,False
Turkey,Netherlands,72287090,Other alloy bars rods and sections,89.658,53473,4,True
Germany,Germany,72221189,Stainless steel bars sections and wire,89.456,266363,22,False
Spain,Portugal,72163390,Angles shapes and sections,89.439,57436,1,True
India,India,72201100,Stainless steel flat products under 600mm,89.424,258148,10,False
Sweden,Sweden,72191210,Stainless steel flat products,89.35,194276,5,False
Spain,Netherlands,72193210,Stainless steel flat products,89.257,210269,3,True
Austria,Austria,72269191,Other alloy flat products under 600mm,89.178,1327697,8,False
Indonesia,Turkey,72192110,Stainless steel flat products,89.073,164195,1,True
Poland,Netherlands,72072080,Semi-finished steel,89.056,102273,4,True
Belgium,Belgium,72027000,Ferro-alloys,88.969,2418340,4,False
United Kingdom,Netherlands,72027000,Ferro-alloys,88.956,2259079,8,True
Vietnam,Vietnam,72193410,Stainless steel flat products,88.875,174149,5,False
China,Taiwan,72192210,Stainless steel flat products,88.828,152389,1,True
France,Netherlands,72085291,Hot-rolled flat products,88.826,107282,7,True
Finland,Belgium,72191290,Stainless steel flat products,88.72,113687,4,True
Austria,Austria,72119080,Flat products under 600mm,88.716,1119628,5,False
United States,United States,72199080,Stainless steel flat products,88.484,3067256,29,False
Sweden,Finland,72193490,Stainless steel flat products,88.456,242775,3,True
France,Netherlands,72202041,Stainless steel flat products under 600mm,88.392,214903,20,True
Netherlands,Hungary,72104900,Coated or plated flat products,88.31,83179,2,True
Netherlands,Netherlands,72169180,Angles shapes and sections,88.2,145752,19,False
Turkey,Germany,72163190,Angles shapes and sections,88.15,46764,2,True
United Arab Emirates,United Arab Emirates,72104900,Coated or plated flat products,88.06,55995,1,False
Finland,Germany,72193490,Stainless steel flat products,87.68,120297,4,True
France,Belgium,72202041,Stainless steel flat products under 600mm,87.595,223294,16,True
China,China,72112330,Flat products under 600mm,87.256,65999,5,False
France,Belgium,72254060,Other alloy flat products,87.132,98566,6,True
Germany,Netherlands,72112330,Flat products under 600mm,87.01400000000001,180004,5,True
Switzerland,Switzerland,72224090,Stainless steel bars sections and wire,86.907,591421,15,False
France,Belgium,72287010,Other alloy bars rods and sections,86.88199999999999,58186,10,True
United Arab Emirates,United Arab Emirates,72092890,Cold-rolled flat products,86.764,111883,4,False
Belgium,France,72254040,Other alloy flat products,86.72200000000001,209822,6,True
India,Belgium,72085291,Hot-rolled flat products,86.688,66158,6,True
Egypt,Egypt,72042110,Ferrous waste and scrap,86.643,147963,3,False
Indonesia,India,72085198,Hot-rolled flat products,86.454,46013,1,True
South Korea,Belgium,72085191,Hot-rolled flat products,86.4,66669,3,True
Unknown / not supplied,Ireland,72124080,Coated flat products under 600mm,86.351,113135,16,True
China,Netherlands,72149971,Other bars and rods,86.237,63816,4,True
Austria,Austria,72221990,Stainless steel bars sections and wire,86.225,501383,13,False
South Africa,China,72193390,Stainless steel flat products,86.0,97245,1,True
Spain,Portugal,72149110,Other bars and rods,85.95,52699,2,True
Germany,Netherlands,72251990,Other alloy flat products,85.849,125076,4,True
Luxembourg,Luxembourg,72165099,Angles shapes and sections,85.828,150655,5,False
Italy,Netherlands,72193410,Stainless steel flat products,85.798,207068,10,True
France,France,72124080,Coated flat products under 600mm,85.753,1360342,25,False
Finland,Germany,72202081,Stainless steel flat products under 600mm,85.487,390026,23,True
Unknown / not supplied,Sweden,72254090,Other alloy flat products,85.291,110197,11,True
Italy,Netherlands,72222021,Stainless steel bars sections and wire,85.212,1049140,29,True
Norway,Norway,72071912,Semi-finished steel,85.089,558962,18,False
China,Indonesia,72193310,Stainless steel flat products,84.77,115406,1,True
Austria,France,72221910,Stainless steel bars sections and wire,84.756,1084983,13,True
Sweden,Finland,72085120,Hot-rolled flat products,84.68900000000001,62447,2,True
France,Belgium,72104900,Coated or plated flat products,84.688,41189,5,True
United Kingdom,Netherlands,72163310,Angles shapes and sections,84.625,68166,12,True
United Kingdom,Turkey,72224090,Stainless steel bars sections and wire,84.51499999999999,282236,3,True
Italy,Italy,72083700,Hot-rolled flat products,84.285,123716,1,False
Italy,Italy,72249005,Alloy steel ingots and semi-finished,84.272,76283,3,False
Spain,Italy,72151000,Other bars and rods,84.26599999999999,70446,3,True
United Kingdom,Slovenia,72259900,Other alloy flat products,84.211,194456,11,True
Poland,Germany,72149110,Other bars and rods,84.061,74780,13,True
France,Belgium,72269191,Other alloy flat products under 600mm,83.997,53485,9,True
Unknown / not supplied,Ireland,72230091,Stainless steel wire,83.92699999999999,142842,28,True
Austria,Germany,72299090,Alloy steel wire,83.771,104239,10,True
China,China,72179090,Wire,83.67999999999999,114598,24,False
Turkey,South Korea,72091790,Cold-rolled flat products,83.21,41938,1,True
Italy,Italy,72199020,Stainless steel flat products,83.187,838960,26,False
Finland,Belgium,72201200,Stainless steel flat products under 600mm,83.17999999999999,228307,8,True
Slovakia,Germany,72071114,Semi-finished steel,83.016,102600,4,True
Albania,Netherlands,72024190,Ferro-alloys,83.0,143363,4,True
Czechia,Poland,72151000,Other bars and rods,82.952,77746,6,True
Turkey,Turkey,72149995,Other bars and rods,82.80199999999999,52418,4,False
China,Belgium,72193410,Stainless steel flat products,82.795,164892,1,True
Spain,AG,72163190,Angles shapes and sections,82.782,70365,1,True
Taiwan,Taiwan,72230011,Stainless steel wire,82.297,426533,12,False
Sweden,Denmark,72202049,Stainless steel flat products under 600mm,82.289,195518,3,True
Hong Kong,Hong Kong,72193310,Stainless steel flat products,82.188,196005,2,False
China,China,72109080,Coated or plated flat products,82.07900000000001,288478,12,False
Germany,Belgium,72051000,Granules and powders,81.98400000000001,71891,6,True
Germany,Germany,72072052,Semi-finished steel,81.89099999999999,99431,9,False
China,China,72224050,Stainless steel bars sections and wire,81.828,485770,21,False
China,Slovenia,72029930,Ferro-alloys,81.821,143604,7,True
Belgium,Italy,72107080,Coated or plated flat products,81.59,113361,2,True
Italy,Belgium,72149950,Other bars and rods,81.525,67059,6,True
Oman,Oman,72149110,Other bars and rods,81.522,51179,1,False
Turkey,Turkey,72155011,Other bars and rods,81.471,72707,7,False
Japan,Japan,72112900,Flat products under 600mm,81.438,205528,4,False
Spain,Netherlands,72085191,Hot-rolled flat products,80.959,82489,17,True
Turkey,Netherlands,72024950,Ferro-alloys,80.804,244838,2,True
South Africa,Spain,72202049,Stainless steel flat products under 600mm,80.37700000000001,56379,4,True
India,India,72151000,Other bars and rods,80.359,152564,29,False
Italy,Italy,72254060,Other alloy flat products,80.353,77506,7,False
Denmark,Denmark,72159000,Other bars and rods,80.339,519125,10,False
Poland,Germany,72179020,Wire,80.19399999999999,67108,3,True
Germany,Germany,72230091,Stainless steel wire,80.071,576237,23,False
Norway,Iceland,72022100,Ferro-alloys,80.0,97749,3,True
Sweden,Finland,72254060,Other alloy flat products,79.877,61953,3,True
Sweden,Netherlands,72091690,Cold-rolled flat products,79.83,80447,1,True
Italy,Italy,72029980,Ferro-alloys,79.813,109264,10,False
Czechia,Czechia,72249090,Alloy steel ingots and semi-finished,79.61399999999999,211338,9,False
Italy,Germany,72286080,Other alloy bars rods and sections,79.525,196581,16,True
Spain,Netherlands,72179020,Wire,79.507,95766,4,True
Switzerland,Switzerland,72222089,Stainless steel bars sections and wire,79.483,880661,29,False
China,China,72282091,Other alloy bars rods and sections,79.408,55202,2,False
Romania,Belgium,72202041,Stainless steel flat products under 600mm,79.343,187970,7,True
Italy,Italy,72044910,Ferrous waste and scrap,79.174,862120,10,False
Romania,France,72072080,Semi-finished steel,79.165,714628,21,True
Romania,Turkey,72172030,Wire,79.1,64877,1,True
Netherlands,Netherlands,72109080,Coated or plated flat products,78.94,162415,9,False
Germany,Belgium,72085120,Hot-rolled flat products,78.731,100718,7,True
Indonesia,Indonesia,72192300,Stainless steel flat products,78.536,136333,1,False
Italy,Netherlands,72285020,Other alloy bars rods and sections,78.375,223694,8,True
China,China,72230091,Stainless steel wire,78.32900000000001,406397,26,False
France,Belgium,72163211,Angles shapes and sections,78.324,53967,7,True
Austria,Netherlands,72254040,Other alloy flat products,78.25,115759,9,True
India,Belgium,72085120,Hot-rolled flat products,78.24,62279,4,True
Netherlands,Netherlands,72172090,Wire,78.231,150291,20,False
Unknown / not supplied,Portugal,72085198,Hot-rolled flat products,78.216,64110,1,True
Portugal,Portugal,72112330,Flat products under 600mm,78.211,61786,2,False
Germany,Germany,72193290,Stainless steel flat products,78.19,135251,11,False
Portugal,Germany,72221910,Stainless steel bars sections and wire,77.682,345998,18,True
Croatia,Croatia,72169110,Angles shapes and sections,77.524,136334,5,False
Czechia,Germany,72172090,Wire,77.423,80111,3,True
Germany,Germany,72112380,Flat products under 600mm,77.422,95194,8,False
France,Belgium,72193390,Stainless steel flat products,77.301,139009,9,True
China,China,72189110,Stainless steel ingots and semi-finished,77.262,299172,15,False
France,Germany,72286080,Other alloy bars rods and sections,77.214,144380,14,True
Taiwan,Taiwan,72192400,Stainless steel flat products,77.209,172265,8,False
Germany,France,72269200,Other alloy flat products under 600mm,77.202,107890,6,True
Greece,Greece,72105000,Coated or plated flat products,76.938,208998,10,False
United States,United States,72299090,Alloy steel wire,76.937,795828,29,False
China,China,72083800,Hot-rolled flat products,76.822,195090,5,False
Germany,Belgium,72155080,Other bars and rods,76.815,74575,2,True
South Korea,South Korea,72292000,Alloy steel wire,76.77199999999999,87948,2,False
Unknown / not supplied,Germany,72051000,Granules and powders,76.75,68990,12,True
Italy,Romania,72159000,Other bars and rods,76.734,124363,8,True
Thailand,Thailand,72171010,Wire,76.684,43189,1,False
Unknown / not supplied,Italy,72166110,Angles shapes and sections,76.654,89254,6,True
South Korea,Vietnam,72091690,Cold-rolled flat products,76.6,37905,1,True
Spain,PA,72283070,Other alloy bars rods and sections,76.595,56775,1,True
Germany,Germany,72085400,Hot-rolled flat products,76.46600000000001,212494,21,False
Italy,Netherlands,72155019,Other bars and rods,76.36699999999999,61464,5,True
Slovakia,France,72172030,Wire,76.221,93936,4,True
China,China,72189980,Stainless steel ingots and semi-finished,76.204,875406,28,False
Kazakhstan,Kazakhstan,72024990,Ferro-alloys,75.98,158020,3,False
Unknown / not supplied,Spain,72171031,Wire,75.949,60255,1,True
Albania,Greece,72172030,Wire,75.832,62147,1,True
India,Netherlands,72027000,Ferro-alloys,75.732,2327000,11,True
Unknown / not supplied,Ireland,72149931,Other bars and rods,75.67999999999999,59371,23,True
Finland,Belgium,72193510,Stainless steel flat products,75.551,155309,4,True
France,Italy,72284090,Other alloy bars rods and sections,75.47,284060,4,True
Austria,Germany,72083600,Hot-rolled flat products,75.45,46016,2,True
Mexico,Switzerland,72230099,Stainless steel wire,75.446,278935,21,True
Taiwan,Taiwan,72221189,Stainless steel bars sections and wire,75.432,627840,12,False
China,Taiwan,72191410,Stainless steel flat products,75.427,173049,1,True
Indonesia,Indonesia,72222031,Stainless steel bars sections and wire,75.36699999999999,144705,3,False
Germany,France,72085191,Hot-rolled flat products,75.153,83810,6,True
Italy,United States,72222089,Stainless steel bars sections and wire,75.144,642288,17,True
Unknown / not supplied,Ireland,72169180,Angles shapes and sections,75.03,131304,16,True
Chile,Belgium,72024190,Ferro-alloys,75.0,55920,1,True
Indonesia,Turkey,72191210,Stainless steel flat products,74.978,124814,1,True
Malta,Malta,72042190,Ferrous waste and scrap,74.91799999999999,70928,4,False
United Kingdom,France,72104900,Coated or plated flat products,74.86,65802,1,True
Unknown / not supplied,Sweden,72132000,Hot-rolled bars and rods,74.838,415848,17,True
Austria,Germany,72171090,Wire,74.78999999999999,170012,2,True
South Africa,South Africa,72052100,Granules and powders,74.675,197736,6,False
China,China,72173049,Wire,74.65,204833,15,False
Belgium,Germany,72085291,Hot-rolled flat products,74.571,77042,6,True
Italy,Spain,72202081,Stainless steel flat products under 600mm,74.519,836599,6,True
Germany,Germany,72099080,Cold-rolled flat products,74.481,388175,26,False
Spain,Spain,72272000,Alloy bars and rods hot-rolled,74.42999999999999,62098,5,False
India,India,72143000,Other bars and rods,74.42,48720,1,False
PE,PE,72172090,Wire,74.378,64531,2,False
Spain,Spain,72221189,Stainless steel bars sections and wire,74.35,238510,15,False
Belgium,France,72166190,Angles shapes and sections,74.35,150944,5,True
Italy,Netherlands,72083800,Hot-rolled flat products,74.12,71791,3,True
Germany,Belgium,72171039,Wire,73.938,60256,3,True
India,China,72193310,Stainless steel flat products,73.917,85452,1,True
Philippines,Netherlands,72121010,Coated flat products under 600mm,73.719,117060,5,True
Belgium,Denmark,72192110,Stainless steel flat products,73.693,242519,7,True
Belgium,Netherlands,72254040,Other alloy flat products,73.671,105900,6,True
Indonesia,China,72172030,Wire,73.64,117052,1,True
Hungary,Hungary,72107080,Coated or plated flat products,73.61,108573,3,False
Egypt,Netherlands,72022100,Ferro-alloys,73.589,64799,2,True
Italy,Italy,72085390,Hot-rolled flat products,73.533,109524,6,False
Ireland,Ireland,72141000,Other bars and rods,73.38,50350,16,False
Germany,France,72124080,Coated flat products under 600mm,73.319,410967,12,True
Slovakia,Slovakia,72022990,Ferro-alloys,73.2,181340,5,False
Unknown / not supplied,Spain,72042190,Ferrous waste and scrap,73.153,59784,1,True
United States,France,72283061,Other alloy bars rods and sections,73.078,771370,5,True
France,Belgium,72202021,Stainless steel flat products under 600mm,73.031,172300,9,True
Turkey,China,72104900,Coated or plated flat products,72.89,65827,1,True
Netherlands,Netherlands,72193210,Stainless steel flat products,72.637,213715,9,False
Turkey,Italy,72292000,Alloy steel wire,72.56700000000001,122440,21,True
Unknown / not supplied,Portugal,72124080,Coated flat products under 600mm,72.50399999999999,153941,3,True
China,Belgium,72052100,Granules and powders,72.487,666826,3,True
Bulgaria,Romania,72286080,Other alloy bars rods and sections,72.46000000000001,137226,11,True
France,Netherlands,72107080,Coated or plated flat products,72.38000000000001,191326,4,True
Brazil,France,72029300,Ferro-alloys,72.25,1734690,4,True
Poland,Poland,72107010,Coated or plated flat products,72.211,175020,6,False
Spain,Spain,72111400,Flat products under 600mm,72.21000000000001,47790,2,False
Ireland,Ireland,72122000,Coated flat products under 600mm,72.20400000000001,77662,3,False
Italy,Italy,72161000,Angles shapes and sections,72.008,221166,25,False
India,India,72024950,Ferro-alloys,72.0,153875,3,False
Netherlands,Germany,72085191,Hot-rolled flat products,71.931,78471,4,True
Albania,France,72172030,Wire,71.894,63025,1,True
France,France,72169900,Angles shapes and sections,71.888,133573,7,False
Unknown / not supplied,Spain,72179020,Wire,71.818,48402,8,True
Germany,Germany,72202089,Stainless steel flat products under 600mm,71.809,1513202,25,False
Spain,Germany,72179050,Wire,71.741,91798,8,True
France,Switzerland,72085120,Hot-rolled flat products,71.642,49031,1,True
United Arab Emirates,United Arab Emirates,72165099,Angles shapes and sections,71.48,373374,1,False
Belgium,Germany,72193410,Stainless steel flat products,71.442,210271,15,True
Netherlands,Germany,72172030,Wire,71.297,142144,7,True
Germany,France,72085299,Hot-rolled flat products,71.292,42984,6,True
Poland,Netherlands,72149939,Other bars and rods,71.284,66434,22,True
Turkey,Turkey,72283070,Other alloy bars rods and sections,71.02,48119,2,False
China,Netherlands,72283061,Other alloy bars rods and sections,71.007,72254,5,True
Slovakia,Germany,72022990,Ferro-alloys,71.0,174431,4,True
Taiwan,Taiwan,72189920,Stainless steel ingots and semi-finished,70.923,1351459,22,False
Belgium,Belgium,72169900,Angles shapes and sections,70.803,153309,7,False
United Kingdom,Germany,72072017,Semi-finished steel,70.786,112649,3,True
Unknown / not supplied,Germany,72163291,Angles shapes and sections,70.705,54517,4,True
Morocco,Morocco,72083600,Hot-rolled flat products,70.69,46328,1,False
Belgium,Belgium,72192290,Stainless steel flat products,70.669,203070,10,False
